имя;I_k, Па;f, Дж;k;T_p, К;ro, кг/м^3;alpha_k, м^3/кг;Z_k;k_1;lambda_1;k_2;lambda_2;k_I, 1/К;k_f, 1/К;
7/1 УГ;9.0000e+05;4.0100e+05;1.1930e+00;1.7750e+03;1.6000e+03;5.4300e-04;1.0000e+00;1.1070e+00;-9.6658e-02;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
ДГ-4 13/1;9.0000e+05;1.0040e+06;1.2430e+00;2.6550e+03;1.5200e+03;1.0850e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.6000e-04;
15/1 тр В/А;9.1000e+05;1.0190e+06;1.2220e+00;2.9700e+03;1.6000e+03;1.0050e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;2.5000e-04;
15/7;9.3000e+05;1.0100e+06;1.2250e+00;2.9150e+03;1.6000e+03;1.0100e-03;1.5410e+00;7.3000e-01;1.7000e-01;5.3937e-01;-9.2400e-01;1.6000e-03;3.0000e-04;
9/7 БП;9.4000e+05;9.1100e+05;1.2530e+00;2.4100e+03;1.6000e+03;1.0900e-03;1.4900e+00;7.5000e-01;1.5600e-01;5.4286e-01;-1.0090e+00;2.2000e-03;3.0000e-04;
14/7;9.6000e+05;1.0000e+06;1.2270e+00;2.8650e+03;1.6000e+03;1.0150e-03;1.5350e+00;7.2800e-01;1.7400e-01;5.4328e-01;-9.3400e-01;1.6000e-03;3.0000e-04;
8/1 УГ;1.0000e+06;3.9100e+05;1.1980e+00;1.6850e+03;1.6000e+03;5.3400e-04;1.0000e+00;1.0790e+00;-7.3216e-02;0.0000e+00;0.0000e+00;3.0000e-03;7.0000e-04;
16/1 тр В/А;1.0400e+06;1.0150e+06;1.2240e+00;2.9400e+03;1.6000e+03;1.0090e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;2.5000e-04;
ДГ-4 14/1;1.0500e+06;1.0040e+06;1.2430e+00;2.6550e+03;1.5200e+03;1.0850e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.6000e-04;
ДГ-3 13/1;1.0750e+06;9.6800e+05;1.2500e+00;2.5050e+03;1.5200e+03;1.1130e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
